GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
200611200SEA,2007,Mon,11,20,2006,7:00 pm,Brooklyn,87,Seattle,99
200611200UTA,2007,Mon,11,20,2006,7:00 pm,Toronto,96,Utah,101
200611210CLE,2007,Tue,11,21,2006,7:00 pm,Memphis,94,Cleveland,97
200611210DAL,2007,Tue,11,21,2006,7:30 pm,Washington,80,Dallas,107
200611210DEN,2007,Tue,11,21,2006,7:00 pm,Chicago,109,Denver,113
200611210IND,2007,Tue,11,21,2006,7:00 pm,Milwaukee,88,Indiana,93
200611210LAL,2007,Tue,11,21,2006,7:30 pm,L.A. Clippers,101,L.A. Lakers,105
200611210NOK,2007,Tue,11,21,2006,7:00 pm,Miami,86,New Orleans,101
200611210PHI,2007,Tue,11,21,2006,7:00 pm,Detroit,97,Philadelphia,87
200611220CHA,2007,Wed,11,22,2006,7:00 pm,Boston,83,Charlotte,92
200611220DET,2007,Wed,11,22,2006,7:30 pm,Atlanta,98,Detroit,103
200611220GSW,2007,Wed,11,22,2006,7:30 pm,Denver,115,Golden State,112
200611220HOU,2007,Wed,11,22,2006,7:30 pm,Washington,82,Houston,86
200611220LAC,2007,Wed,11,22,2006,7:30 pm,Seattle,95,L.A. Clippers,85
200611220MIL,2007,Wed,11,22,2006,7:00 pm,Philadelphia,94,Milwaukee,98
200611220MIN,2007,Wed,11,22,2006,7:00 pm,New York,89,Minnesota,107
200611220ORL,2007,Wed,11,22,2006,7:00 pm,Indiana,91,Orlando,96
200611220PHO,2007,Wed,11,22,2006,7:00 pm,New Orleans,83,Phoenix,92
200611220POR,2007,Wed,11,22,2006,7:00 pm,Brooklyn,97,Portland,100
200611220SAC,2007,Wed,11,22,2006,7:00 pm,Utah,110,Sacramento,101
200611220SAS,2007,Wed,11,22,2006,6:30 pm,Miami,86,San Antonio,106
200611220TOR,2007,Wed,11,22,2006,7:00 pm,Cleveland,87,Toronto,95
200611240ATL,2007,Fri,11,24,2006,7:30 pm,Toronto,93,Atlanta,97
200611240BOS,2007,Fri,11,24,2006,7:30 pm,New York,101,Boston,77
200611240DEN,2007,Fri,11,24,2006,7:00 pm,Golden State,129,Denver,140
200611240DET,2007,Fri,11,24,2006,8:00 pm,Charlotte,95,Detroit,104
200611240IND,2007,Fri,11,24,2006,8:00 pm,Cleveland,87,Indiana,97
200611240MEM,2007,Fri,11,24,2006,7:00 pm,Washington,80,Memphis,95
200611240MIA,2007,Fri,11,24,2006,7:30 pm,Orlando,107,Miami,104
200611240NOK,2007,Fri,11,24,2006,7:00 pm,Minnesota,86,New Orleans,79
200611240PHI,2007,Fri,11,24,2006,7:30 pm,Chicago,108,Philadelphia,123
200611240PHO,2007,Fri,11,24,2006,8:30 pm,Brooklyn,93,Phoenix,99
200611240SAS,2007,Fri,11,24,2006,7:00 pm,Dallas,95,San Antonio,92
200611240SEA,2007,Fri,11,24,2006,7:30 pm,Sacramento,109,Seattle,100
200611240UTA,2007,Fri,11,24,2006,7:00 pm,L.A. Lakers,108,Utah,114
200611250CHA,2007,Sat,11,25,2006,7:00 pm,Miami,102,Charlotte,93
200611250CLE,2007,Sat,11,25,2006,7:30 pm,Philadelphia,95,Cleveland,108
200611250DAL,2007,Sat,11,25,2006,7:30 pm,New Orleans,73,Dallas,85
200611250GSW,2007,Sat,11,25,2006,7:30 pm,Utah,78,Golden State,91
200611250HOU,2007,Sat,11,25,2006,7:30 pm,Memphis,76,Houston,85
200611250MIL,2007,Sat,11,25,2006,8:00 pm,Boston,111,Milwaukee,98
200611250MIN,2007,Sat,11,25,2006,7:00 pm,L.A. Clippers,96,Minnesota,104
200611250NYK,2007,Sat,11,25,2006,7:30 pm,Chicago,106,New York,95
200611250ORL,2007,Sat,11,25,2006,7:00 pm,Atlanta,79,Orlando,98
200611250SAC,2007,Sat,11,25,2006,7:00 pm,Portland,85,Sacramento,105
200611250WAS,2007,Sat,11,25,2006,7:00 pm,Detroit,115,Washington,111
200611260DEN,2007,Sun,11,26,2006,6:00 pm,L.A. Clippers,88,Denver,103
200611260LAL,2007,Sun,11,26,2006,6:30 pm,Brooklyn,93,L.A. Lakers,99
200611260POR,2007,Sun,11,26,2006,6:00 pm,Phoenix,119,Portland,101
200611260SEA,2007,Sun,11,26,2006,6:00 pm,San Antonio,98,Seattle,78
200611260TOR,2007,Sun,11,26,2006,1:00 pm,Indiana,83,Toronto,92
200611270DAL,2007,Mon,11,27,2006,7:30 pm,Minnesota,87,Dallas,93
200611270GSW,2007,Mon,11,27,2006,7:30 pm,San Antonio,102,Golden State,111
200611270MIA,2007,Mon,11,27,2006,7:30 pm,Philadelphia,91,Miami,103
200611270UTA,2007,Mon,11,27,2006,7:00 pm,Orlando,88,Utah,75
200611280CHI,2007,Tue,11,28,2006,7:30 pm,New York,85,Chicago,102
200611280DEN,2007,Tue,11,28,2006,7:00 pm,Memphis,108,Denver,96
200611280HOU,2007,Tue,11,28,2006,7:30 pm,Minnesota,75,Houston,82
200611280LAL,2007,Tue,11,28,2006,7:30 pm,Milwaukee,109,L.A. Lakers,105
200611280NJN,2007,Tue,11,28,2006,7:30 pm,Charlotte,96,Brooklyn,92
200611280NOK,2007,Tue,11,28,2006,7:00 pm,Toronto,94,New Orleans,77
200611280POR,2007,Tue,11,28,2006,7:00 pm,Indiana,105,Portland,97
200611280SAC,2007,Tue,11,28,2006,7:00 pm,L.A. Clippers,80,Sacramento,93
200611280WAS,2007,Tue,11,28,2006,7:00 pm,Atlanta,95,Washington,96
200611290ATL,2007,Wed,11,29,2006,7:00 pm,Charlotte,90,Atlanta,99
200611290BOS,2007,Wed,11,29,2006,7:30 pm,Brooklyn,106,Boston,103
200611290CLE,2007,Wed,11,29,2006,7:00 pm,New York,101,Cleveland,98
200611290DAL,2007,Wed,11,29,2006,7:30 pm,Toronto,98,Dallas,117
200611290GSW,2007,Wed,11,29,2006,7:30 pm,Indiana,108,Golden State,106
200611290LAC,2007,Wed,11,29,2006,7:30 pm,Memphis,90,L.A. Clippers,105
200611290PHO,2007,Wed,11,29,2006,7:00 pm,Houston,91,Phoenix,102
200611290SEA,2007,Wed,11,29,2006,7:00 pm,Orlando,94,Seattle,84
