GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201201130DEN,2012,Fri,01,13,2012,8:30 pm,Miami,104,Denver,117,"19,155"
201201130HOU,2012,Fri,01,13,2012,7:00 pm,Sacramento,89,Houston,103,"12,870"
201201130LAL,2012,Fri,01,13,2012,7:30 pm,Cleveland,92,L.A. Lakers,97,"18,997"
201201130NOH,2012,Fri,01,13,2012,7:00 pm,Minnesota,87,New Orleans Hornets,80,"14,295"
201201130PHI,2012,Fri,01,13,2012,7:00 pm,Washington,89,Philadelphia,120,"14,213"
201201130PHO,2012,Fri,01,13,2012,7:00 pm,Brooklyn,110,Phoenix,103,"15,191"
201201130SAS,2012,Fri,01,13,2012,7:30 pm,Portland,83,San Antonio,99,"18,581"
201201130TOR,2012,Fri,01,13,2012,7:00 pm,Indiana,95,Toronto,90,"15,302"
201201140ATL,2012,Sat,01,14,2012,7:00 pm,Minnesota,91,Atlanta,93,"13,135"
201201140CHA,2012,Sat,01,14,2012,7:00 pm,Golden State,100,Charlotte,112,"16,122"
201201140CHI,2012,Sat,01,14,2012,7:00 pm,Toronto,64,Chicago,77,"21,962"
201201140DAL,2012,Sat,01,14,2012,8:00 pm,Sacramento,60,Dallas,99,"20,313"
201201140HOU,2012,Sat,01,14,2012,7:00 pm,Portland,105,Houston,107,OT,"11,676"
201201140IND,2012,Sat,01,14,2012,7:00 pm,Boston,83,Indiana,97,"14,203"
201201140LAC,2012,Sat,01,14,2012,7:30 pm,L.A. Lakers,94,L.A. Clippers,102,"19,895"
201201140MEM,2012,Sat,01,14,2012,7:00 pm,New Orleans Hornets,99,Memphis,108,"14,983"
201201140OKC,2012,Sat,01,14,2012,7:00 pm,New York,92,Oklahoma City Thunder,104,"18,203"
201201140UTA,2012,Sat,01,14,2012,7:00 pm,Brooklyn,94,Utah,107,"19,557"
201201140WAS,2012,Sat,01,14,2012,7:00 pm,Philadelphia,103,Washington,90,"13,998"
201201150DEN,2012,Sun,01,15,2012,6:00 pm,Utah,106,Denver,96,"16,208"
201201150DET,2012,Sun,01,15,2012,6:00 pm,Golden State,99,Detroit,91,"11,774"
201201150SAS,2012,Sun,01,15,2012,8:00 pm,Phoenix,91,San Antonio,102,"18,581"
201201160ATL,2012,Mon,01,16,2012,4:00 pm,Toronto,84,Atlanta,93,"11,050"
201201160BOS,2012,Mon,01,16,2012,8:00 pm,Oklahoma City Thunder,97,Boston,88,"18,624"
201201160CHA,2012,Mon,01,16,2012,2:00 pm,Cleveland,102,Charlotte,94,"14,988"
201201160LAC,2012,Mon,01,16,2012,12:30 pm,Brooklyn,91,L.A. Clippers,101,"19,060"
201201160LAL,2012,Mon,01,16,2012,7:30 pm,Dallas,70,L.A. Lakers,73,"18,997"
201201160MEM,2012,Mon,01,16,2012,12:00 pm,Chicago,86,Memphis,102,"18,119"
201201160MIN,2012,Mon,01,16,2012,7:00 pm,Sacramento,86,Minnesota,99,"16,159"
201201160NOH,2012,Mon,01,16,2012,2:00 pm,Portland,84,New Orleans Hornets,77,"14,758"
201201160NYK,2012,Mon,01,16,2012,1:00 pm,Orlando,102,New York,93,"19,763"
201201160PHI,2012,Mon,01,16,2012,2:00 pm,Milwaukee,82,Philadelphia,94,"17,281"
201201160WAS,2012,Mon,01,16,2012,2:00 pm,Houston,114,Washington,106,"15,594"
201201170CHI,2012,Tue,01,17,2012,7:00 pm,Phoenix,97,Chicago,118,"21,347"
201201170CLE,2012,Tue,01,17,2012,7:00 pm,Golden State,105,Cleveland,95,"13,056"
201201170HOU,2012,Tue,01,17,2012,7:00 pm,Detroit,80,Houston,97,"9,318"
201201170MIA,2012,Tue,01,17,2012,7:30 pm,San Antonio,98,Miami,120,"19,600"
201201170MIL,2012,Tue,01,17,2012,7:00 pm,Denver,105,Milwaukee,95,"11,322"
201201170ORL,2012,Tue,01,17,2012,7:00 pm,Charlotte,89,Orlando,96,"18,846"
201201170UTA,2012,Tue,01,17,2012,7:00 pm,L.A. Clippers,79,Utah,108,"19,371"
201201180ATL,2012,Wed,01,18,2012,8:00 pm,Portland,89,Atlanta,92,"13,729"
201201180BOS,2012,Wed,01,18,2012,7:30 pm,Toronto,73,Boston,96,"18,624"
201201180LAC,2012,Wed,01,18,2012,7:30 pm,Dallas,89,L.A. Clippers,91,"19,252"
